가게이름,상세주소,위도,경도,별점,전화번호,구분
꼬리살랑,서울시 용산구 원효로3가 원효로 150,37.5342733,126.9596974,4.5,02-4679-4413,카페
아이조아펫파크 서울점,서울시 용산구 녹사평대로32길 28 2층,37.5334563,126.9902645,0.0,02-496-4703,카페
명동 고양이,서울시 중구 명동7길 19,37.56467,126.984218,3.7,02-2517-2676,카페
다독인더씨티,서울시 강남구 역삼동 608-23,37.5045647,127.0340341,4.2,02-1384-1887,카페
더왈츠,서울시 강남구 역삼로 134,37.4940724,127.0343027,4.1,02-8189-5964,카페
동건's 애견카페,서울시 서초구 방배동 778-20,37.4931059,126.9862143,4.1,02-7036-4146,카페
차르도르 애견카페 앤 펫살롱,서울시 봉천동 702-102번지 하동 1층,37.4909879,126.9269381,3.6,02-3388-2920,카페
더귀여워,서울시 마포구 서교동 409-1,37.5500187,126.9220952,3.9,02-7781-7094,카페
미어캣파크,서울시 종로구 동숭동 1-113 6층,37.5816245,127.0027917,3.8,02-7622-1766,카페
바우라움,서울시 성동구 행당동 155-1,37.5570821,127.0400999,4.3,02-1254-4888,카페
애견카페히릿 건대점,서울시 광진구 111-27번지 3층 2호,37.5469318,127.074404,4.5,02-3009-4438,카페
카페 38애견카페,서울시 서초구 방배동 874-14번지 1층,37.4882331,126.9928051,4.0,02-7033-9300,카페
구름뜬하늘,서울시 마포구 와우산로27길 21,37.5541595,126.9271021,4.3,02-2347-9902,카페
홍대독스,서울시 마포구 홍익로6길 67,37.5568697,126.9247651,3.7,02-4312-5716,카페
써니네 애견카페,서울시 마포구 동교동 169-29 3층,37.5566873,126.9254042,4.0,02-6498-2453,카페
마실나온개,서울시 마포구 서교동 331-21번지 4층,37.556165,126.9260901,4.2,02-9882-9793,카페
까니쉬,서울시 중구 소월로 39,37.5562876,126.9769287,3.8,02-3485-5731,카페
애견카페 리버티벨,서울시 광진구 자양동 능동로 49,37.5358089,127.0684009,3.7,02-4521-6177,카페
파파독스,서울시 동대문구 회기동 45-74,37.5913642,127.0531712,4.2,02-2555-2972,카페
혼자 두면 장판 뜯어서 차린 개카페,서울시 관악구 봉천동 595-2번지 3층,37.5568697,126.9247651,3.6,02-7679-2596,카페
시그널동물병원,서울특별시 영등포구 신길로 119 112동 비103호비104호비105호 (신길동 신길뉴타운 한화 꿈에그린),37.50296341746157,126.90671774874258,4.1,02-832-7505,동물병원
도그플러스 동물병원,서울특별시 중랑구 신내로 201 2층 (신내동 홈플러스),37.61579463074161,127.09087324152527,5.0,3421-9075,동물병원
키다리 동물병원,서울특별시 마포구 월드컵북로 218 2층 (성산동),37.56949845420232,126.90213105771875,2.5,02-376-7675,동물병원
위드펫동물병원,서울특별시 강남구 논현로 18 지수빌딩 2층 (개포동),37.47301539571496,127.04697913664553,1.6,02-529-7577,동물병원
드림동물병원,서울특별시 구로구 중앙로8길 11 109동 5호 (고척동 고척 월드메르디앙),37.502945149904676,126.86025721266974,3.6,0236660204,동물병원
마루동물병원,서울특별시 송파구 양산로4길 13 우토 파크빌딩 (거여동),37.489983516080855,127.14186643083525,2.7,024438898,동물병원
나비셀 동물의료센터,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 210호 (가산동),37.476786969547604,126.87771746323192,3.2,6978-9500,동물병원
센트럴동물병원,서울특별시 강동구 고덕로 399 메가스퀘어동 2층 225호 (고덕동 고덕센트럴푸르지오),37.557693001005504,127.16719438857567,4.7,02-3428-0045,동물병원
신당 좋아요 동물병원,서울특별시 중구 다산로36길 83 1층 (신당동),37.56052610171116,127.01621992403342,4.8,02-2233-6675,동물병원
도담동물병원,서울특별시 도봉구 도봉로 875 (도봉동),37.68267591919385,127.0426501726711,4.1,955-8400,동물병원
로운동물의료센터,서울특별시 강서구 등촌로 223 렙쇼메이빌딩 2층 (등촌동),37.54962467197518,126.86049399161317,3.9,02-6953-7576,동물병원
이상록동물병원,서울특별시 서초구 나루터로 37 신사쇼핑센터 1층 102-2호 (잠원동),37.51615957124548,127.01181911591782,3.2,02-533-5505,동물병원
나래동물병원,서울특별시 광진구 능동로 283 (군자동),37.55534973147841,127.07526366170394,0.5,463-3216,동물병원
한얼동물병원,서울특별시 은평구 응암로 226 (응암동),37.59204419105564,126.91502553253491,3.3,304-5553,동물병원
ZOO동물병원,서울특별시 성북구 정릉로 328 1층 (정릉동),37.60201062470583,127.01665283490125,4.7,914-5545,동물병원
바다동물병원(Bada Animal Hospital),서울특별시 용산구 서빙고로 67 지하1층 비21호 (용산동5가 파크타워),37.524274480596624,126.96779467275914,2.1,02-792-2561,동물병원
바우라움동물병원,서울특별시 성동구 왕십리로 241 4층 (행당동 서울숲 더샵),37.5571491313575,127.03725916112579,0.6,0264546182,동물병원
은마로동물병원,서울특별시 노원구 한글비석로 363 종로약국 (중계동),37.65791007645257,127.07153693008816,1.4,931-1575,동물병원
형제동물의료센터,서울특별시 관악구 남부순환로 1747-1 (봉천동),37.482375218572166,126.94129051302393,1.1,02-889-0575,동물병원
동대문 루시드 동물메디컬센터,서울특별시 동대문구 전농로 57-1 동대문 루시드 동물메디컬센터 (답십리동),37.57012676950302,127.05402982160658,0.6,0262170202,동물병원
대학로동물병원,서울특별시 종로구 창경궁로 261 (명륜2가),37.584647939610896,126.99729966993613,2.5,3672-8441,동물병원
위드 동물병원,서울특별시 서대문구 응암로 76 102호 (북가좌동),37.579641603199846,126.90854601828259,2.1,02-373-7500,동물병원
24시월드펫동물메디컬센터,서울특별시 양천구 신월로 208(신월동),37.52050737368447,126.84249701328943,0.8,0226987582,동물병원
쿠키동물병원,서울특별시 강북구 삼양로27길 19 (미아동 래미안트리베라 201동 116호),37.617311661244116,127.01751149440355,2.3,02-986-9875,동물병원
굿파파 24시 반려동물건강검진센터,서울특별시 동작구 사당로 289 1층 및 2층 (사당동),37.48481923259628,126.97673837365896,2.7,02-593-8275,동물병원
